track_id,track_name,spotify_url,lyrics,cover_image_url
6TBUBqz21JmF2hkeRbnwme,Montego Bay,https://open.spotify.com/track/6TBUBqz21JmF2hkeRbnwme,,https://i.scdn.co/image/ab67616d0000b2732c457d4d053065310063d791
5qNh5WtzMbfpSj2jLlBkoD,Your Power,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD,,https://i.scdn.co/image/ab67616d0000b273ba4cad4533efdd06fa843a39
3u5vKV8Jr3XON1QWz1lUbP,Talk of the Town,https://open.spotify.com/track/3u5vKV8Jr3XON1QWz1lUbP,,https://i.scdn.co/image/ab67616d0000b2733a1db30857beb481aa6e5345
7MXVkk9YMctZqd1Srtv4MB,Starboy,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
3J19l4hOfwFFIF715BwVcG,Anthem for the Year 2000,https://open.spotify.com/track/3J19l4hOfwFFIF715BwVcG,,https://i.scdn.co/image/ab67616d0000b27302629081ad3b70375352dd19
39C5FuZ8C8M0QI8CrMsPkR,Foreplay / Long Time,https://open.spotify.com/track/39C5FuZ8C8M0QI8CrMsPkR,,https://i.scdn.co/image/ab67616d0000b2738c1fadcc997a65384f34d694
3KhIpPRbkjr3p1eJkD51dj,New Romantics,https://open.spotify.com/track/3KhIpPRbkjr3p1eJkD51dj,,https://i.scdn.co/image/ab67616d0000b273eb4ef60f82fdc4b489ac1950
2l1GIxmkts2O0qYrlwGwF0,She - Original Stereo Version; 2006 Remaster,https://open.spotify.com/track/2l1GIxmkts2O0qYrlwGwF0,,https://i.scdn.co/image/ab67616d0000b273360a1ae790aa71a0aac4983e
1EuI95kVxZYLbENy8d6AOI,I'm Good?,https://open.spotify.com/track/1EuI95kVxZYLbENy8d6AOI,,https://i.scdn.co/image/ab67616d0000b273a8d3c84f750d5fff1745217c
7Dm3dV3WPNdTgxoNY7YFnc,The Chain - 2004 Remaster,https://open.spotify.com/track/7Dm3dV3WPNdTgxoNY7YFnc,,https://i.scdn.co/image/ab67616d0000b27357df7ce0eac715cf70e519a7
0Pu71wxadDlB8fJXfjIjeJ,Shoop,https://open.spotify.com/track/0Pu71wxadDlB8fJXfjIjeJ,,https://i.scdn.co/image/ab67616d0000b27331ac4ea81876d18519e4b6eb
5PLC7cNlxWIMAZvXrtqsZm,Trouble,https://open.spotify.com/track/5PLC7cNlxWIMAZvXrtqsZm,,https://i.scdn.co/image/ab67616d0000b273e3804561af7c7d89f084a207
4stNldZRtgwvHvb34INX5y,You Got Me,https://open.spotify.com/track/4stNldZRtgwvHvb34INX5y,,https://i.scdn.co/image/ab67616d0000b273a87067e5e25b863774b0691c
5LenBcq9xeHLC00Gn7AyYv,I Am the Beat,https://open.spotify.com/track/5LenBcq9xeHLC00Gn7AyYv,,https://i.scdn.co/image/ab67616d0000b2734e0efdc61ac73da80122fb4b
0K1ddNp1ev0zdik1EzuxkT,Well Hello,https://open.spotify.com/track/0K1ddNp1ev0zdik1EzuxkT,,https://i.scdn.co/image/ab67616d0000b2732663a0ec722e8cd0a8d0b7f6
1A4a167Yf7bXEkVOqon1HK,Twistin' Matilda (And the Channel),https://open.spotify.com/track/1A4a167Yf7bXEkVOqon1HK,,https://i.scdn.co/image/ab67616d0000b273373e69d19b4c7c07690bf176
34sAPj9hCZr4f814I3MWEy,Nothing Can Divide Us,https://open.spotify.com/track/34sAPj9hCZr4f814I3MWEy,,https://i.scdn.co/image/ab67616d0000b273cd12dd55b0c00f57c56571eb
1HXaX12pA7jVuwUczy5UOd,Its Only the Beginning,https://open.spotify.com/track/1HXaX12pA7jVuwUczy5UOd,,https://i.scdn.co/image/ab67616d0000b2733c15e7f740f33a81922b80f5
2gGxroCYEruO4Bco35RnGU,S.O.S.,https://open.spotify.com/track/2gGxroCYEruO4Bco35RnGU,,https://i.scdn.co/image/ab67616d0000b273b5e240a13ba238ad4a053fff
0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,https://open.spotify.com/track/0cVyQfDyRnMJ0V3rjjdlU3,,https://i.scdn.co/image/ab67616d0000b273f1304c61690f550a0d5983b1
2NELtMgQ8HSdrGrYQPLnC3,Piece by Piece,https://open.spotify.com/track/2NELtMgQ8HSdrGrYQPLnC3,,https://i.scdn.co/image/ab67616d0000b2738612619562d9e86624479ec8
6vVfNqiMSku4FrqsqhurBK,Glamorous,https://open.spotify.com/track/6vVfNqiMSku4FrqsqhurBK,,https://i.scdn.co/image/ab67616d0000b2734c62f163f672735dda3357e2
2vG1yrWSMiL6egg6w4e9ma,Free Your Mind,https://open.spotify.com/track/2vG1yrWSMiL6egg6w4e9ma,,https://i.scdn.co/image/ab67616d0000b27350638bf4b6a49dce27bc4ff5
6ZQIKSFLoonDStQchogVdC,Untouchable (Originally Performed by Taylor Swift) [Vocal Version],https://open.spotify.com/track/6ZQIKSFLoonDStQchogVdC,,https://i.scdn.co/image/ab67616d0000b273c475f58b18b4687242702a48
74Hy0E0huf9VS853otOC0m,From The Sea,https://open.spotify.com/track/74Hy0E0huf9VS853otOC0m,,https://i.scdn.co/image/ab67616d0000b2737e9073816e61ccb4dcb72421
2NjO87HyT80fsgejd3PLYW,Dance To This (feat. Ariana Grande),https://open.spotify.com/track/2NjO87HyT80fsgejd3PLYW,,https://i.scdn.co/image/ab67616d0000b273aae542061ac42ee04779fb2f
1ESxXEaYZ3CvkVqBdSHZiS,Into The Dark,https://open.spotify.com/track/1ESxXEaYZ3CvkVqBdSHZiS,,https://i.scdn.co/image/ab67616d0000b273b77411b9680509da42f83ddc
1Xhz8EjC4GChCe46aR0MFy,Happenin' All Over Again - Radio,https://open.spotify.com/track/1Xhz8EjC4GChCe46aR0MFy,,https://i.scdn.co/image/ab67616d0000b2736b39fff29de478c2a2e8b189
6UqKslmiLujULn7mpfbpaC,You've Never Been This Far Before,https://open.spotify.com/track/6UqKslmiLujULn7mpfbpaC,,https://i.scdn.co/image/ab67616d0000b273e37e2e917f39d60c7f8bfb57
2yWyFT6bW1Rd9cjVvYi4v8,Superstylin',https://open.spotify.com/track/2yWyFT6bW1Rd9cjVvYi4v8,,https://i.scdn.co/image/ab67616d0000b2730d6e6cc2e426ab9f3b33fbcc
7rojor07Wzc7w3zXOxex80,Halfway Gone,https://open.spotify.com/track/7rojor07Wzc7w3zXOxex80,,https://i.scdn.co/image/ab67616d0000b27340969b349ac21efdcb16f43f
39umHdGKfpnjY4TFtnoQ51,Too Much (feat. Usher),https://open.spotify.com/track/39umHdGKfpnjY4TFtnoQ51,,https://i.scdn.co/image/ab67616d0000b27377d85d6688b7010ce154fe0a
3g2zKo9K0MymRmkn6fXWcr,Polaroid,https://open.spotify.com/track/3g2zKo9K0MymRmkn6fXWcr,,https://i.scdn.co/image/ab67616d0000b273c0ec309aaaf1913aa78e28c0
0iyFZC2XuPdLpfQpUeli4H,Walk Right In,https://open.spotify.com/track/0iyFZC2XuPdLpfQpUeli4H,,https://i.scdn.co/image/ab67616d0000b2738d4bfca049780d5b87323e09
4rRRVHoBP8v42QdOivhhfj,Two Strong Hearts,https://open.spotify.com/track/4rRRVHoBP8v42QdOivhhfj,,https://i.scdn.co/image/ab67616d0000b2733a1db30857beb481aa6e5345
