track_id,track_name,spotify_url,cover_image,lyrics,processing_time
3uHHFUxskdOEs5P5xPdmcz,Fortune Teller - Mono,https://open.spotify.com/track/3uHHFUxskdOEs5P5xPdmcz,https://i.scdn.co/image/ab67616d0000b2738d1570a03b9354518f0b618b,Skipped for speed,1.862973928451538
608xszaAxVh4m7NcKJiAbF,One of These Nights - 2013 Remaster,https://open.spotify.com/track/608xszaAxVh4m7NcKJiAbF,https://i.scdn.co/image/ab67616d0000b2735d0a8e54aba5181c79593b94,Skipped for speed,2.3774352073669434
0dPfKBYyPmoSfoLJqeKAs4,Don't Worry,https://open.spotify.com/track/0dPfKBYyPmoSfoLJqeKAs4,https://i.scdn.co/image/ab67616d0000b273de6a96b9d62a611e4ffc7756,Skipped for speed,2.342308282852173
6OGogr19zPTM4BALXuMQpF,Take My Breath - Single Version,https://open.spotify.com/track/6OGogr19zPTM4BALXuMQpF,https://i.scdn.co/image/ab67616d0000b2733c041e53cb5c38b6de03e758,Skipped for speed,1.7496557235717773
1ohbjkuczl6hEoYEo931PH,Sing Hallelujah!,https://open.spotify.com/track/1ohbjkuczl6hEoYEo931PH,https://i.scdn.co/image/ab67616d0000b273a00ecc3de0f1456c5b79d532,Skipped for speed,1.8459949493408203
2DNdEpV9UnsYjL6w1Dp1aS,That's Not My Name,https://open.spotify.com/track/2DNdEpV9UnsYjL6w1Dp1aS,https://i.scdn.co/image/ab67616d0000b27300e6778a26551e3ea45de840,Skipped for speed,1.8275070190429688
70on8632PmtkPhed7jLKWN,Someone,https://open.spotify.com/track/70on8632PmtkPhed7jLKWN,https://i.scdn.co/image/ab67616d0000b27314e69bc0f311b329601b279a,Skipped for speed,1.9321696758270264
5NUXE8W12lWcUXgJRCjeEw,One Too Many,https://open.spotify.com/track/5NUXE8W12lWcUXgJRCjeEw,https://i.scdn.co/image/ab67616d0000b273f2a428f109f825ec22c64656,Skipped for speed,1.89542818069458
2h0HkReHGCQPOEDZXEMcTO,Special Needs,https://open.spotify.com/track/2h0HkReHGCQPOEDZXEMcTO,https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32,Skipped for speed,1.7265660762786865
2bfsHVgRsnSANN3SJ4sPt2,Oh Boy!,https://open.spotify.com/track/2bfsHVgRsnSANN3SJ4sPt2,https://i.scdn.co/image/ab67616d0000b273988665e0435d5283cfd38b1d,Skipped for speed,2.5276174545288086
1KU5EHSz04JhGg3rReGJ0N,Black Velvet,https://open.spotify.com/track/1KU5EHSz04JhGg3rReGJ0N,https://i.scdn.co/image/ab67616d0000b27340d7d779d24a56af1ad59e41,Skipped for speed,1.790978193283081
7aWLRQCKhQ18syTAXtLKn6,Would You Raise Your Hands?,https://open.spotify.com/track/7aWLRQCKhQ18syTAXtLKn6,https://i.scdn.co/image/ab67616d0000b273ebec5ce374c862d77327d614,Skipped for speed,1.8611602783203125
4nHpy4mMRGXsD5RrhXwoko,The Forgotten,https://open.spotify.com/track/4nHpy4mMRGXsD5RrhXwoko,https://i.scdn.co/image/ab67616d0000b2739498f05d5189dc1bcc2d70ca,Skipped for speed,1.858445644378662
0lIoY4ZQsdn5QzhraM9o9u,Because the Night,https://open.spotify.com/track/0lIoY4ZQsdn5QzhraM9o9u,https://i.scdn.co/image/ab67616d0000b273a28eabe111f67a386e75a31a,Skipped for speed,2.3178231716156006
2oSpQ7QtIKTNFfA08Cy0ku,It's The End Of The World As We Know It (And I Feel Fine),https://open.spotify.com/track/2oSpQ7QtIKTNFfA08Cy0ku,https://i.scdn.co/image/ab67616d0000b273a7c7f94cfccd5ab6de233916,Skipped for speed,1.7340519428253174
0AQqrtK1pULuwZUXhwaaDz,All By Myself,https://open.spotify.com/track/0AQqrtK1pULuwZUXhwaaDz,https://i.scdn.co/image/ab67616d0000b2738b62f896e8d3ca8dad7588e7,Skipped for speed,2.365265130996704
5LEQdlGJ44WnhaxnDg8GHf,Home Entertainment System,https://open.spotify.com/track/5LEQdlGJ44WnhaxnDg8GHf,https://i.scdn.co/image/ab67616d0000b2738f850b56ad32c85790d67566,Skipped for speed,2.1661829948425293
5TpNKy3cNoLnMNEyP2L0Ox,Friday On My Mind,https://open.spotify.com/track/5TpNKy3cNoLnMNEyP2L0Ox,https://i.scdn.co/image/ab67616d0000b27325fbfe01ca17e9984362f805,Skipped for speed,1.8649320602416992
53KmqHPNbgziMAKoHzeSeo,Warrior,https://open.spotify.com/track/53KmqHPNbgziMAKoHzeSeo,https://i.scdn.co/image/ab67616d0000b273a96d4533e77ebb2f39fc9045,Skipped for speed,1.8746912479400635
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf,https://i.scdn.co/image/ab67616d0000b273699a422d25adc550dc5aa11c,Skipped for speed,2.4044644832611084
7vGuf3Y35N4wmASOKLUVVU,Silence,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,https://i.scdn.co/image/ab67616d0000b273f33ba583059dc2f7d08bf2b8,Skipped for speed,1.9722049236297607
2wtqBurDM5kxuH6WhxwIJr,Man Overboard,https://open.spotify.com/track/2wtqBurDM5kxuH6WhxwIJr,https://i.scdn.co/image/ab67616d0000b273712349fcafdb2dce6268aaf1,Skipped for speed,2.078350067138672
2McbI8WrvqqK6Ew5VgllX3,Kiss Me,https://open.spotify.com/track/2McbI8WrvqqK6Ew5VgllX3,https://i.scdn.co/image/ab67616d0000b27353fb0f20812d2550750dd500,Skipped for speed,2.0746700763702393
3kg05HyeoiSfxuEoyQa0xk,All I Ask,https://open.spotify.com/track/3kg05HyeoiSfxuEoyQa0xk,https://i.scdn.co/image/ab67616d0000b273f9542fe0cc3df05d6375f4b0,Skipped for speed,2.133542776107788
0QC6QMN85EQZzfJ39HNO5h,Higher,https://open.spotify.com/track/0QC6QMN85EQZzfJ39HNO5h,https://i.scdn.co/image/ab67616d0000b27375499a2c380e1070bc7e7b7b,Skipped for speed,1.8700120449066162
00iCRJ7pk3onHablkLyVH1,"Today's The Day - From ""The Ellen DeGeneres Show""",https://open.spotify.com/track/00iCRJ7pk3onHablkLyVH1,https://i.scdn.co/image/ab67616d0000b2732e7c36c5659940447dbda182,Skipped for speed,2.0186314582824707
5VJlvaPufnazmTvt2sHQqc,How Do I Live,https://open.spotify.com/track/5VJlvaPufnazmTvt2sHQqc,https://i.scdn.co/image/ab67616d0000b27336bd0d3776cbbf5f409b89c5,Skipped for speed,2.623430013656616
2ZIzyHDYsXIHUojfr6bAbO,Don't Lose My Number - 2016 Remaster,https://open.spotify.com/track/2ZIzyHDYsXIHUojfr6bAbO,https://i.scdn.co/image/ab67616d0000b273441084621edb7c53ef303090,Skipped for speed,1.973243236541748
6gBv6ujrI1Ta5wE8FtgMFX,Ave Mary A,https://open.spotify.com/track/6gBv6ujrI1Ta5wE8FtgMFX,https://i.scdn.co/image/ab67616d0000b2737ec845b0eb9caba945adc96b,Skipped for speed,2.6061770915985107
